 8.0 8.5 9.0 9.5 10.0 10.5 11.0 11.5 12.0 12.5 13.0 13.5 14.0 14.5 15.0 15.5 16.0 16.5 17.0 17.5 18.0 18.5 19.0 19.5
 8.5 9.0 9.5 10.0 10.5 11.0 11.5 12.0 12.5 13.0 13.5 14.0 14.5 15.0 15.5 16.0 16.5 17.0 17.5 18.0 18.5 19.0 19.5 20.0
                        
0 6 17 24 19 26 17 12 14 3 3 1 4 9 3 4 17 14 18 17 18 13 18 5 5
1 12 13 13 18 18 15 15 17 8 3 8 4 5 14 6 14 13 10 12 13 14 12 6 9
2 13 14 15 20 16 18 15 6 5 9 2 4 3 12 16 14 11 9 18 19 19 8 10 8
3 8 10 17 20 17 20 23 8 4 5 5 5 9 7 18 18 13 16 24 15 10 12 9 10
4 11 20 19 20 18 20 24 6 11 8 3 4 7 4 10 18 17 16 19 14 9 16 9 4
5 12 19 17 17 20 17 20 15 10 1 4 9 6 7 12 15 13 18 7 16 16 16 10 4
6 11 12 19 14 12 17 14 11 5 6 4 5 6 4 10 14 10 14 17 11 12 7 12 8
7 15 17 17 21 14 18 16 12 6 1 1 5 10 4 15 14 13 15 18 14 13 8 6 8
8 7 14 19 29 19 20 17 13 7 6 3 8 6 9 9 11 11 17 9 17 14 9 6 6
9 12 15 21 14 21 25 15 8 5 6 3 5 7 9 13 14 11 13 14 16 11 18 7 6
10 10 24 10 28 21 17 11 15 9 8 5 6 5 4 7 9 16 11 12 6 11 10 11 8
11 7 16 15 19 17 22 17 13 6 3 7 7 3 8 9 10 18 16 15 13 6 11 8 6
12 12 13 19 22 16 16 17 13 9 7 3 5 5 5 13 13 17 13 14 16 15 15 6 6
13 7 10 20 23 23 18 18 9 6 6 6 7 9 7 9 14 17 13 17 18 12 11 8 2
14 10 20 18 23 15 19 15 3 4 2 3 9 6 8 11 10 17 10 14 16 14 9 6 7
15 7 16 17 21 18 23 16 11 9 7 2 7 6 9 14 15 18 14 13 19 17 6 8 2
