 8.0 8.5 9.0 9.5 10.0 10.5 11.0 11.5 12.0 12.5 13.0 13.5 14.0 14.5 15.0 15.5 16.0 16.5 17.0 17.5 18.0 18.5 19.0 19.5
 8.5 9.0 9.5 10.0 10.5 11.0 11.5 12.0 12.5 13.0 13.5 14.0 14.5 15.0 15.5 16.0 16.5 17.0 17.5 18.0 18.5 19.0 19.5 20.0
                        
0 13 12 18 17 19 9 14 8 5 5 2 2 3 5 15 8 11 16 10 10 15 4 8 4
1 9 20 23 9 23 19 13 12 7 4 2 2 4 7 15 15 11 15 11 5 7 11 5 7
2 3 6 18 17 16 24 17 12 7 1 3 5 3 5 5 11 12 9 20 12 12 7 10 8
3 13 11 26 17 21 14 21 5 2 4 2 6 2 5 5 8 14 17 10 16 10 8 11 5
4 15 18 24 20 21 25 17 16 3 3 9 2 7 11 10 10 14 11 9 12 13 8 11 7
5 8 11 11 19 18 14 10 8 6 4 2 6 7 7 11 13 15 19 15 13 15 2 7 6
6 17 9 10 20 19 16 12 10 2 6 1 3 3 5 11 11 13 11 7 11 11 9 6 4
7 10 9 15 18 9 9 12 4 7 4 6 8 11 7 8 10 14 14 8 15 9 7 11 4
8 13 15 12 24 17 15 16 14 6 0 5 1 4 6 7 14 7 8 9 15 8 8 3 5
9 8 7 14 12 14 17 22 8 7 6 3 7 6 13 7 10 15 10 15 13 8 13 7 8
10 11 16 23 13 18 19 6 10 3 0 4 3 2 8 11 11 12 23 11 11 7 14 4 3
11 10 10 12 18 18 17 14 12 6 6 6 7 7 7 10 8 13 11 10 12 16 12 6 5
12 16 14 12 19 22 24 12 12 6 6 5 5 3 6 5 10 7 6 13 14 17 14 4 6
13 13 13 11 19 18 11 14 9 4 3 3 1 2 5 8 11 8 14 12 14 9 12 7 7
14 7 12 20 24 20 16 11 10 4 2 3 3 5 4 7 11 11 17 18 13 7 11 12 5
15 8 11 18 26 20 8 15 13 8 4 2 4 3 8 19 13 10 13 11 6 19 7 6 4
16 7 9 13 21 17 18 15 7 2 4 6 8 10 5 15 17 16 14 13 11 12 5 9 0
17 6 16 8 14 18 18 15 13 5 3 8 4 8 4 11 13 11 14 10 12 15 7 4 3
18 9 10 19 25 14 16 15 8 3 5 1 6 3 9 11 11 16 13 13 12 6 10 6 6
19 14 8 11 15 18 14 13 14 6 3 5 2 5 6 9 9 10 9 21 10 7 7 4 7
